model,engine_power,age_in_days,km,previous_owners,lat,lon,price
lounge,51,762,22000,1,44.98873901,9.010499954,9790
lounge,51,4505,102502,1,45.06967926,7.704919815,5700
lounge,51,366,10000,1,45.54597855,12.16055965,10990
lounge,51,4292,124000,1,41.90322113,12.49565029,5300
lounge,51,397,14284,1,45.35776901,9.612210274,10850
pop,62,1917,37900,1,45.77878189,11.84053993,7600
pop,51,2588,88000,1,43.88206863,11.10035038,5500
lounge,51,456,13600,1,45.73727036,11.38978958,10400
pop,51,2557,52000,1,40.69672012,14.51916027,6900
lounge,51,1247,27464,1,45.61695862,9.422280312,8200
lounge,51,425,23212,1,45.35438919,11.86925983,10500
sport,51,3592,99180,1,43.62332916,11.46354008,6700
lounge,51,701,25000,1,44.98873901,9.010499954,9790
lounge,51,1247,39600,1,41.90322113,12.49565029,8500
lounge,51,3044,132000,1,37.8167305,12.86872005,7900
pop,51,790,48000,1,45.38145828,9.155489922,8500
lounge,51,4018,118000,2,44.06312943,12.44701004,5100
lounge,51,3927,121000,2,41.90322113,12.49565029,4500
lounge,51,2131,59753,1,44.43400955,10.40653992,6900
lounge,51,1886,56500,1,45.46796036,9.181779861,8500
lounge,51,397,18019,1,38.12207031,13.36112022,11000
lounge,51,3712,108000,1,45.56040955,8.059780121,6600
sport,73,3896,120000,1,44.29430008,9.674440384,5100
lounge,51,3896,120000,1,44.11185837,9.958860397,5900
lounge,51,425,18233,1,45.35438919,11.86925983,10500
lounge,51,456,10062,1,45.81475067,8.830129623,10700
pop,51,701,16000,1,44.98873901,9.010499954,9190
lounge,51,1370,64658,1,45.75424957,9.312749863,9435
lounge,51,670,25000,1,45.07889938,9.302300453,10500
sport,51,2466,113000,1,46.79201889,11.98031998,6600
pop,62,3258,84740,1,45.3355217,11.78584003,6900
pop,51,2374,81600,1,43.9381218,10.91257954,7600
lounge,51,762,8500,1,44.69252014,10.10396004,10800
lounge,51,366,14089,1,42.56283188,12.64220047,10900
lounge,51,2374,90000,1,44.28387833,11.88813972,7900
pop,51,1583,38000,1,41.90322113,12.49565029,8900
lounge,51,821,13500,1,41.90322113,12.49565029,10300
lounge,51,397,13105,1,45.35438919,11.86925983,10500
lounge,51,670,33608,1,43.06753159,12.55154991,10900
pop,51,3288,90000,1,43.9126091,12.90561008,6900
lounge,51,821,32150,1,45.51256943,10.32901001,9950
lounge,51,4018,68000,1,45.07889938,9.302300453,5800
lounge,51,2466,127000,1,44.13837051,12.23882008,6300
lounge,51,762,13236,2,40.69556046,14.48085022,10300
lounge,51,366,20653,2,45.70724869,11.4776001,10500
lounge,51,366,10909,2,38.12207031,13.36112022,11000
lounge,51,425,15000,2,44.55202866,7.725810051,10950
lounge,51,1858,12000,2,40.87839127,14.14029026,10500
lounge,51,790,39162,2,45.46796036,9.181779861,9990
lounge,51,790,27595,2,45.68825912,8.731450081,10200
lounge,51,790,23040,2,41.90322113,12.49565029,8000
lounge,51,397,12780,2,44.90724182,8.611559868,10500
lounge,51,790,30758,2,45.51256943,10.32901001,9950
pop,51,1127,50000,1,41.90322113,12.49565029,8250
pop,51,3439,125684,1,43.87985992,10.78281021,4390
pop,51,366,22148,1,45.6835289,11.95294952,9500
lounge,51,366,71200,1,44.03533173,10.13949013,8900
lounge,51,1127,44000,1,44.70143127,7.972080231,9500
lounge,51,425,18702,1,38.12207031,13.36112022,11000
pop,51,2131,40388,1,45.0127182,7.821589947,8390
lounge,73,4658,143000,1,45.06967926,7.704919815,4500
lounge,51,790,31650,1,45.68825912,8.731450081,10200
lounge,51,670,35000,1,41.90322113,12.49565029,10470
pop,62,1066,34464,1,43.78237152,11.25498962,7500
lounge,51,670,15214,1,37.6079483,12.96685028,10800
lounge,51,4383,135762,1,43.87985992,10.78281021,3390
lounge,51,3319,89179,2,45.6100502,9.242340088,7500
pop,51,2192,53428,2,45.46796036,9.181779861,6990
lounge,51,397,13980,2,45.46580124,8.88640976,9980
lounge,51,366,14816,2,38.12207031,13.36112022,11000
lounge,51,731,33070,2,41.10787964,14.20880985,10900
lounge,51,2374,102600,1,40.96617889,17.11647987,6800
pop,51,1827,45000,1,41.90322113,12.49565029,8200
pop,66,3957,83000,1,41.90322113,12.49565029,5800
lounge,51,701,21000,1,44.71540833,11.30830002,10900
lounge,51,2892,70000,1,43.33272171,11.71932983,6900
pop,51,4322,120000,1,40.67237854,14.72821999,4900
lounge,51,425,15384,1,45.51256943,10.32901001,10850
pop,51,2131,40000,1,45.5320015,9.28153038,7300
pop,51,1217,58497,1,41.90322113,12.49565029,8900
pop,51,4230,156000,3,45.67483902,9.687859535,4250
lounge,51,1917,49000,3,45.35776901,9.612210274,7800
lounge,51,397,14877,3,45.46580124,8.88640976,9980
lounge,51,366,17642,3,38.12207031,13.36112022,11000
pop,51,1066,65415,3,41.10787964,14.20880985,7900
sport,62,3013,67000,1,40.96617889,17.11647987,7500
lounge,51,2101,61400,1,41.90322113,12.49565029,7990
pop,51,1066,74000,1,41.80591965,13.05401993,8900
lounge,51,701,22000,1,44.71540833,11.30830002,10900
lounge,51,3105,119767,1,43.25386047,11.81614971,5800
lounge,51,701,10800,1,41.02598953,14.46444035,9850
lounge,51,397,18631,1,45.51256943,10.32901001,10850
lounge,51,4049,135000,1,41.90322113,12.49565029,5490
lounge,51,425,20900,1,45.53868866,9.928310394,10500
lounge,51,456,15324,1,45.81275177,9.224140167,10500
lounge,51,397,19286,1,45.46580124,8.88640976,9980
lounge,51,670,32156,1,41.10787964,14.20880985,10900
lounge,51,1247,11000,1,45.06967926,7.704919815,9990
lounge,51,1066,66000,1,43.34375,11.92121029,9000
pop,51,3957,148700,1,41.12586975,16.86665916,4900
pop,51,2496,99510,1,44.50883865,11.46907997,6500
pop,51,701,37950,1,41.77008057,12.22710991,7950
lounge,51,456,12600,1,44.90443039,8.199939728,10200
lounge,51,397,21886,1,45.51256943,10.32901001,10850
pop,51,3896,60000,1,45.62141037,12.45398998,4900
lounge,51,2282,50400,1,44.90724182,8.611559868,7900
lounge,51,1035,69900,1,42.14385986,12.54016018,9750
lounge,51,3347,133000,1,41.29956055,13.03258991,5400
lounge,51,397,15465,1,45.46580124,8.88640976,9980
pop,51,790,48461,1,41.10787964,14.20880985,8500
lounge,51,3957,136000,1,41.15206146,15.08308983,4990
lounge,74,4322,170000,1,45.55812073,9.213609695,4600
lounge,51,1096,37000,1,45.5501709,12.07188034,9300
lounge,51,366,15206,1,45.51256943,10.32901001,10850
lounge,51,4018,83000,1,45.83068848,12.03334045,5490
lounge,51,366,15000,1,44.29430008,9.674440384,10500
lounge,51,762,24700,1,42.14385986,12.54016018,9450
lounge,51,821,17600,1,44.76641846,8.705599785,10500
lounge,51,456,16043,1,45.46580124,8.88640976,9980
pop,51,366,5870,1,45.46796036,9.181779861,10999
lounge,51,425,16783,1,41.90322113,12.49565029,9100
lounge,51,4474,108400,1,46.17649841,9.903670311,6200
lounge,51,3470,78000,1,40.92850113,14.20366955,6000
lounge,51,701,42290,1,45.02238846,7.586019993,8400
lounge,51,790,37819,1,45.70724869,11.4776001,9700
lounge,51,397,17034,1,45.51256943,10.32901001,10950
lounge,51,3835,100000,1,45.4054718,10.27828979,5200
lounge,51,366,14000,1,44.29430008,9.674440384,10500
lounge,51,1155,40700,1,42.14385986,12.54016018,8750
pop,51,1521,37500,1,45.5320015,9.28153038,8290
lounge,51,456,26526,1,45.46580124,8.88640976,9980
lounge,51,425,12275,1,41.90322113,12.49565029,9100
lounge,51,701,37083,1,40.46537018,17.25053978,9000
lounge,51,2223,60000,1,45.31705856,8.858699799,7700
pop,51,2343,95000,1,45.33407974,11.37687016,7900
lounge,51,3684,71000,1,40.92850113,14.20366955,6000
lounge,51,1096,55851,1,41.90322113,12.49565029,7100
lounge,51,1247,22686,1,41.90322113,12.49565029,9390
lounge,51,425,20917,1,45.51256943,10.32901001,10850
lounge,51,3988,102932,2,45.6095314,10.20856953,5999
lounge,51,366,15000,2,44.29430008,9.674440384,10500
lounge,51,397,22775,2,45.46580124,8.88640976,9980
lounge,51,397,11997,2,45.46796036,9.181779861,9999
lounge,51,762,29000,2,45.76464844,8.99450016,10500
pop,51,1155,29000,2,43.78237152,11.25498962,10900
lounge,51,821,21877,2,46.17649841,9.903670311,10800
lounge,51,701,19934,2,45.13325882,7.632730007,8999
lounge,51,4108,138000,1,45.5501709,12.07188034,5200
lounge,51,456,11314,1,45.55812073,9.213609695,10900
lounge,51,425,17375,1,45.20227814,10.79292965,10950
pop,51,1066,52125,1,44.41175842,12.2040596,8900
lounge,51,366,18000,1,44.29430008,9.674440384,10500
lounge,51,2557,81247,1,45.28242111,9.931300163,7500
lounge,51,2739,90000,1,44.79853058,10.34022045,6200
sport,51,3743,68833,1,44.92488098,7.330989838,5490
pop,51,3347,85500,1,45.46796036,9.181779861,5699
lounge,51,790,35000,1,45.76464844,8.99450016,10500
lounge,51,2313,80000,1,40.92850113,14.20366955,6990
lounge,51,762,36448,1,40.75220871,14.45341015,8579
sport,51,2009,125000,1,45.19305038,9.15130043,6350
pop,51,2769,72000,1,44.13837051,12.23882008,7800
lounge,51,1521,46980,1,45.74602127,9.049969673,8600
lounge,51,397,16523,1,45.20227814,10.79292965,10850
pop,51,2313,19500,1,44.50482178,11.34517956,7900
lounge,51,366,17000,1,44.29430008,9.674440384,10500
lounge,51,2251,87000,1,45.06967926,7.704919815,5990
lounge,51,578,32057,1,40.9952507,17.21916008,9600
pop,51,366,11203,1,45.05659866,9.701760292,9900
lounge,51,3562,128000,2,45.50944901,9.088700294,4990
pop,51,2131,90000,1,41.90322113,12.49565029,6500
lounge,51,731,33665,1,40.75220871,14.45341015,9979
lounge,51,3804,78000,1,45.59614944,8.915809631,6600
lounge,51,701,13100,1,43.06753159,12.55154991,10500
lounge,51,1096,64944,1,41.90322113,12.49565029,7100
pop,51,2616,122000,1,45.66228104,9.631299973,5900
lounge,51,397,18877,1,45.20227814,10.79292965,10850
lounge,51,1521,55886,1,40.85889816,14.35719013,8500
lounge,51,366,19000,1,44.29430008,9.674440384,10500
pop,51,397,17500,1,42.10467911,14.70598984,9800
lounge,51,790,17200,1,45.64250183,12.16362,9800
lounge,51,578,32057,1,44.50482178,11.34517956,9600
lounge,51,1005,22376,1,41.90322113,12.49565029,10900
pop,77,2251,52000,2,45.50944901,9.088700294,8500
pop,51,1858,75000,2,45.64123917,11.55618,9999
lounge,51,731,33280,2,40.75220871,14.45341015,9980
lounge,51,701,23900,1,45.50442123,12.03608036,9800
pop,51,701,40000,1,45.77859116,8.946249962,8000
lounge,51,1096,57262,1,41.90322113,12.49565029,7100
lounge,51,762,12816,1,45.81275177,9.224140167,10300
lounge,51,397,15003,1,45.20227814,10.79292965,10850
lounge,51,2435,81631,1,45.82556152,12.20979023,7400
lounge,51,366,17000,1,44.29430008,9.674440384,10500
pop,51,366,18818,1,45.02238846,7.586019993,8990
lounge,51,821,10800,1,45.64250183,12.16362,9800
lounge,51,578,32057,1,43.78237152,11.25498962,9600
lounge,51,1035,69900,1,41.90322113,12.49565029,9750
lounge,51,3258,155000,1,43.33272171,11.71932983,6500
lounge,51,762,36448,1,41.80298996,12.59893036,8580
lounge,62,1917,36000,1,45.70059967,9.2084198,9900
pop,51,2162,117183,1,44.05541992,12.57003975,6000
lounge,62,2282,69000,1,46.16872025,12.70748997,7800
lounge,51,456,14000,1,40.8401413,14.25226021,9499
lounge,51,1583,29064,1,45.51256943,10.32901001,9500
lounge,51,762,41783,1,43.78237152,11.25498962,9450
lounge,51,366,16000,1,44.29430008,9.674440384,10500
lounge,51,456,13900,1,44.06312943,12.44701004,10900
lounge,51,670,16000,1,44.55202866,7.725810051,10450
lounge,51,578,32057,1,40.82139969,14.12238026,9600
lounge,51,1521,19446,1,45.59614944,8.915809631,10600
sport,51,3439,147448,1,45.32001114,10.57859039,4990
lounge,51,1096,15000,1,44.99895096,9.103429794,9490
lounge,51,731,33665,1,41.80298996,12.59893036,9980
lounge,51,397,13988,1,45.35438919,11.86925983,10500
lounge,51,456,18400,1,44.06312943,12.44701004,10900
lounge,51,670,18560,1,45.81275177,9.224140167,10300
lounge,51,397,16218,1,45.51256943,10.32901001,10850
lounge,51,790,40298,1,43.78237152,11.25498962,9450
lounge,51,366,15000,1,44.29430008,9.674440384,10500
lounge,51,456,19900,1,44.06312943,12.44701004,10900
lounge,51,1127,13000,1,45.76464844,8.99450016,9500
lounge,51,578,32057,1,38.12207031,13.36112022,9600
lounge,51,1521,21381,1,45.59614944,8.915809631,10600
lounge,51,790,17708,1,41.90322113,12.49565029,8100
lounge,51,701,18000,1,44.99895096,9.103429794,10590
lounge,51,731,33665,1,41.80298996,12.59893036,9980
lounge,51,4383,125000,1,40.83581161,14.50440979,4690
lounge,51,456,17600,1,44.06312943,12.44701004,10900
pop,51,2374,110000,1,44.69559097,10.64124966,6599
lounge,51,2527,95000,1,36.85583878,14.76047039,7500
lounge,51,397,15075,1,45.51256943,10.32901001,10850
lounge,51,790,45381,1,43.78237152,11.25498962,9450
pop,51,762,18600,1,41.29956055,13.03258991,10600
lounge,51,456,10500,1,44.06312943,12.44701004,10900
lounge,51,2527,114000,1,45.51205063,10.42700958,7950
lounge,51,578,32057,1,45.00674057,8.924189568,9600
lounge,51,790,15478,1,45.06967926,7.704919815,9900
lounge,51,1858,81042,1,40.74824142,14.52834988,8990
sport,74,4322,170000,1,45.55812073,9.213609695,4900
lounge,51,762,36448,1,45.5712204,9.159139633,8980
lounge,51,3347,72000,1,45.7832489,12.48812008,6900
lounge,51,456,24500,1,44.06312943,12.44701004,10900
lounge,51,3743,50432,1,45.06967926,7.704919815,6200
pop,51,1886,119000,1,40.85889816,14.35719013,7490
lounge,51,425,16562,1,45.51256943,10.32901001,10950
lounge,51,790,38974,1,43.78237152,11.25498962,9450
lounge,51,3562,82000,1,45.50054932,9.326600075,5900
lounge,51,2313,56600,3,45.13167191,8.449170113,7950
lounge,51,701,22794,3,41.10787964,14.20880985,9600
lounge,51,578,32057,1,39.21453857,9.110489845,9600
lounge,51,790,18156,1,40.67348099,14.77124977,10500
pop,51,4018,95156,1,45.0007019,7.68227005,5900
lounge,51,4018,113000,1,40.91917038,14.15332031,4400
lounge,51,731,29830,1,45.5712204,9.159139633,9980
lounge,51,456,14800,1,44.06312943,12.44701004,10900
lounge,51,701,17000,1,45.60689163,9.306619644,9900
lounge,51,2101,82000,1,45.14241028,10.01521015,6700
lounge,51,397,15628,1,45.51256943,10.32901001,10850
lounge,51,790,39865,1,43.78237152,11.25498962,9450
pop,51,2313,106500,1,45.50329971,11.41784,6800
lounge,51,762,15800,1,45.64250183,12.16362,9800
sport,51,3957,38000,1,45.58409119,9.270959854,5490
lounge,51,762,12161,1,37.51858139,15.00710964,10800
pop,51,2282,69159,1,41.90322113,12.49565029,9200
pop,51,2070,57000,1,45.46796036,9.181779861,7900
lounge,51,731,36303,1,45.5712204,9.159139633,9980
lounge,51,456,11700,1,44.06312943,12.44701004,10900
lounge,51,578,21500,1,43.96585083,12.60208035,9500
lounge,51,731,25900,1,45.06967926,7.704919815,8850
lounge,51,425,17375,1,45.51256943,10.32901001,10950
lounge,51,790,46620,1,43.78237152,11.25498962,9450
lounge,51,4200,97000,1,45.40943909,11.87170982,4700
pop,51,1005,60879,1,45.58409119,9.270959854,8350
pop,51,640,30000,1,45.06967926,7.704919815,8900
lounge,51,425,18276,1,38.31806946,16.39489937,11000
lounge,51,3500,38431,1,41.90322113,12.49565029,7500
lounge,51,3074,103000,1,45.46796036,9.181779861,6900
pop,51,1827,47000,2,40.40106964,15.59286976,6990
lounge,51,456,17000,2,44.06312943,12.44701004,10900
pop,51,3197,120000,2,40.17470169,18.16762924,7900
sport,51,3835,129892,2,45.06967926,7.704919815,4490
lounge,51,397,18877,2,45.51256943,10.32901001,10850
lounge,51,790,41572,2,43.78237152,11.25498962,9450
pop,51,882,24626,1,45.54444122,10.32971954,8990
lounge,51,1492,50400,1,43.06753159,12.55154991,9500
lounge,51,425,20636,1,45.35776901,9.612210274,10650
lounge,51,3258,100000,2,40.82139969,14.12238026,6490
lounge,51,2101,18205,2,41.90322113,12.49565029,9700
pop,51,1797,39000,1,40.6095314,14.98093033,7999
pop,51,670,9000,1,44.98873901,9.010499954,11090
lounge,51,456,29850,1,44.06312943,12.44701004,10900
lounge,51,4049,104300,1,44.90724182,8.611559868,6800
