engine_power,age_in_days,km,previous_owners,lat,lon,price
51,1127,21400,1,44.33253098,7.545919895,9500
51,4292,112400,1,45.70610046,11.80737019,5000
51,366,18590,1,40.39588928,18.12977982,10900
51,3988,175000,1,45.7012291,8.812990189,4800
51,701,22700,1,45.7768898,9.306159973,10250
51,1096,50000,1,40.92166901,14.19626999,9500
62,3470,110000,1,40.83581161,14.50440979,4990
51,1400,49000,1,45.60689163,9.306619644,8200
51,790,34012,1,45.43878937,10.76424026,10550
51,1155,53589,1,45.23141098,9.592889786,8950
51,397,14431,1,41.83264923,12.75259972,9970
51,2953,80000,1,45.58409119,9.270959854,6900
51,4169,81900,2,45.44327164,10.2302103,4900
51,3074,124100,2,45.52497864,9.522139549,6700
51,1827,46000,1,45.66292953,11.60243034,7800
74,4230,176000,1,42.92044067,13.83355045,4990
51,366,13124,1,45.72071838,7.321430206,10950
51,4018,152900,1,43.06753159,12.55154991,5500
51,762,15917,1,40.93085098,14.52859974,9900
51,4383,74000,1,43.52069855,13.23808002,6900
51,456,13215,1,39.29122162,16.25251389,9490
51,366,14732,1,45.74074173,12.23266983,9950
51,2892,67000,1,45.67483902,9.687859535,7900
51,790,39916,1,40.75220871,14.45341015,10279
51,397,13600,1,41.90322113,12.49565029,9970
51,701,21580,1,41.12586975,16.86665916,11090
51,3500,106000,1,41.27293015,16.41847038,5600
51,1858,35304,1,45.64609909,10.49915981,8000
51,4018,174000,1,42.92044067,13.83355045,5400
51,1886,51786,1,40.78419113,14.36966991,7990
51,456,56779,1,45.43811035,12.31814957,10800
51,3409,70000,1,41.90322113,12.49565029,5800
51,3409,56779,1,42.45336914,14.14037991,8700
51,397,16755,1,39.29122162,16.25251389,9490
51,701,48268,1,45.58409119,9.270959854,9000
51,3531,97000,1,45.67483902,9.687859535,6500
51,790,39916,1,41.90322113,12.49565029,10280
51,3804,114000,1,45.60697174,9.629229546,4500
51,397,15341,1,45.35776901,9.612210274,10950
51,3531,83000,1,40.63317108,17.63460922,5900
51,2496,57200,1,41.90322113,12.49565029,7900
51,2892,96685,1,40.69556046,14.48085022,5900
51,366,17272,1,38.12207031,13.36112022,11000
51,4077,124000,1,41.15206146,15.08308983,4250
51,731,24700,1,41.90322113,12.49565029,9450
51,578,5000,1,40.8401413,14.25226021,8900
51,456,19133,1,45.39360046,10.48223972,10900
51,456,11998,1,39.29122162,16.25251389,9590
51,790,39461,1,40.92649078,14.4764204,10800
51,1066,1232,1,45.46796036,9.181779861,9900
51,790,39916,1,41.80298996,12.59893036,10280
51,1308,23500,1,43.81702042,10.68284988,9800
51,397,14991,1,45.35776901,9.612210274,10950
51,2496,104000,1,40.46537018,17.25053978,6900
51,3378,132000,2,45.69522858,9.669509888,4800
51,548,20000,1,45.46350098,9.913140297,9600
51,487,18337,1,39.33176041,16.18132973,10500
51,1400,25282,1,45.06967926,7.704919815,8200
51,4322,117000,1,45.32979965,10.12679958,5399
51,3197,160403,1,41.35784912,13.42463017,5500
51,1431,81900,1,44.13837051,12.23882008,10000
51,821,19000,1,44.98873901,9.010499954,9990
51,670,45000,1,41.90322113,12.49565029,10670
51,670,38000,1,45.54597855,12.16055965,8900
51,4353,76000,1,45.85166168,9.391869545,5500
51,3227,142000,1,44.29430008,9.674440384,4900
51,517,9150,1,44.41175842,12.2040596,10600
51,1552,52026,1,45.06967926,7.704919815,6900
51,2282,145150,2,45.38684082,11.79088974,6800
51,397,19783,2,38.12207031,13.36112022,11000
51,3743,105610,2,37.72787857,12.88747025,4900
51,1035,18000,1,41.90322113,12.49565029,10990
51,1461,54000,1,38.12207031,13.36112022,10000
51,852,10400,1,45.7907486,8.746919632,10400
51,762,22000,1,44.98873901,9.010499954,9790
51,4505,102502,1,45.06967926,7.704919815,5700
51,366,10000,1,45.54597855,12.16055965,10990
51,4292,124000,1,41.90322113,12.49565029,5300
51,397,14284,1,45.35776901,9.612210274,10850
62,1917,37900,1,45.77878189,11.84053993,7600
51,2588,88000,1,43.88206863,11.10035038,5500
51,456,13600,1,45.73727036,11.38978958,10400
51,2557,52000,1,40.69672012,14.51916027,6900
51,1247,27464,1,45.61695862,9.422280312,8200
51,425,23212,1,45.35438919,11.86925983,10500
51,3592,99180,1,43.62332916,11.46354008,6700
51,701,25000,1,44.98873901,9.010499954,9790
51,1247,39600,1,41.90322113,12.49565029,8500
51,3044,132000,1,37.8167305,12.86872005,7900
51,790,48000,1,45.38145828,9.155489922,8500
51,4018,118000,2,44.06312943,12.44701004,5100
51,3927,121000,2,41.90322113,12.49565029,4500
51,2131,59753,1,44.43400955,10.40653992,6900
51,1886,56500,1,45.46796036,9.181779861,8500
51,397,18019,1,38.12207031,13.36112022,11000
51,3712,108000,1,45.56040955,8.059780121,6600
73,3896,120000,1,44.29430008,9.674440384,5100
51,3896,120000,1,44.11185837,9.958860397,5900
51,425,18233,1,45.35438919,11.86925983,10500
51,456,10062,1,45.81475067,8.830129623,10700
51,701,16000,1,44.98873901,9.010499954,9190
51,1370,64658,1,45.75424957,9.312749863,9435
51,670,25000,1,45.07889938,9.302300453,10500
51,2466,113000,1,46.79201889,11.98031998,6600
62,3258,84740,1,45.3355217,11.78584003,6900
51,2374,81600,1,43.9381218,10.91257954,7600
51,762,8500,1,44.69252014,10.10396004,10800
51,366,14089,1,42.56283188,12.64220047,10900
51,2374,90000,1,44.28387833,11.88813972,7900
51,1583,38000,1,41.90322113,12.49565029,8900
51,821,13500,1,41.90322113,12.49565029,10300
51,397,13105,1,45.35438919,11.86925983,10500
51,670,33608,1,43.06753159,12.55154991,10900
51,3288,90000,1,43.9126091,12.90561008,6900
51,821,32150,1,45.51256943,10.32901001,9950
51,4018,68000,1,45.07889938,9.302300453,5800
51,2466,127000,1,44.13837051,12.23882008,6300
51,762,13236,2,40.69556046,14.48085022,10300
51,366,20653,2,45.70724869,11.4776001,10500
51,366,10909,2,38.12207031,13.36112022,11000
51,425,15000,2,44.55202866,7.725810051,10950
51,1858,12000,2,40.87839127,14.14029026,10500
51,790,39162,2,45.46796036,9.181779861,9990
51,790,27595,2,45.68825912,8.731450081,10200
51,790,23040,2,41.90322113,12.49565029,8000
51,397,12780,2,44.90724182,8.611559868,10500
51,790,30758,2,45.51256943,10.32901001,9950
51,1127,50000,1,41.90322113,12.49565029,8250
51,3439,125684,1,43.87985992,10.78281021,4390
51,366,22148,1,45.6835289,11.95294952,9500
51,366,71200,1,44.03533173,10.13949013,8900
51,1127,44000,1,44.70143127,7.972080231,9500
51,425,18702,1,38.12207031,13.36112022,11000
51,2131,40388,1,45.0127182,7.821589947,8390
73,4658,143000,1,45.06967926,7.704919815,4500
51,790,31650,1,45.68825912,8.731450081,10200
51,670,35000,1,41.90322113,12.49565029,10470
62,1066,34464,1,43.78237152,11.25498962,7500
51,670,15214,1,37.6079483,12.96685028,10800
51,4383,135762,1,43.87985992,10.78281021,3390
51,3319,89179,2,45.6100502,9.242340088,7500
51,2192,53428,2,45.46796036,9.181779861,6990
51,397,13980,2,45.46580124,8.88640976,9980
51,366,14816,2,38.12207031,13.36112022,11000
51,731,33070,2,41.10787964,14.20880985,10900
51,2374,102600,1,40.96617889,17.11647987,6800
51,1827,45000,1,41.90322113,12.49565029,8200
66,3957,83000,1,41.90322113,12.49565029,5800
51,701,21000,1,44.71540833,11.30830002,10900
51,2892,70000,1,43.33272171,11.71932983,6900
51,4322,120000,1,40.67237854,14.72821999,4900
51,425,15384,1,45.51256943,10.32901001,10850
51,2131,40000,1,45.5320015,9.28153038,7300
51,1217,58497,1,41.90322113,12.49565029,8900
51,4230,156000,3,45.67483902,9.687859535,4250
51,1917,49000,3,45.35776901,9.612210274,7800
51,397,14877,3,45.46580124,8.88640976,9980
51,366,17642,3,38.12207031,13.36112022,11000
51,1066,65415,3,41.10787964,14.20880985,7900
62,3013,67000,1,40.96617889,17.11647987,7500
51,2101,61400,1,41.90322113,12.49565029,7990
51,1066,74000,1,41.80591965,13.05401993,8900
51,701,22000,1,44.71540833,11.30830002,10900
51,3105,119767,1,43.25386047,11.81614971,5800
51,701,10800,1,41.02598953,14.46444035,9850
51,397,18631,1,45.51256943,10.32901001,10850
51,4049,135000,1,41.90322113,12.49565029,5490
51,425,20900,1,45.53868866,9.928310394,10500
51,456,15324,1,45.81275177,9.224140167,10500
51,397,19286,1,45.46580124,8.88640976,9980
51,670,32156,1,41.10787964,14.20880985,10900
